match_api_id,country_id,league_id,season,stage,match_date,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,match_result
492473,1,1,2008/2009,1,2008-08-17,9987,9993,1,1,draw
492474,1,1,2008/2009,1,2008-08-16,10000,9994,0,0,draw
492475,1,1,2008/2009,1,2008-08-16,9984,8635,0,3,away_win
492476,1,1,2008/2009,1,2008-08-17,9991,9998,5,0,home_win
492477,1,1,2008/2009,1,2008-08-16,7947,9985,1,3,away_win
492478,1,1,2008/2009,1,2008-09-24,8203,8342,1,1,draw
492479,1,1,2008/2009,1,2008-08-16,9999,8571,2,2,draw
492480,1,1,2008/2009,1,2008-08-16,4049,9996,1,2,away_win
492481,1,1,2008/2009,1,2008-08-16,10001,9986,1,0,home_win
492564,1,1,2008/2009,10,2008-11-01,8342,8571,4,1,home_win
492565,1,1,2008/2009,10,2008-10-31,9985,9986,1,2,away_win
492566,1,1,2008/2009,10,2008-11-02,10000,9991,0,2,away_win
492567,1,1,2008/2009,10,2008-11-01,9994,9998,0,0,draw
492568,1,1,2008/2009,10,2008-11-01,7947,10001,2,2,draw
492569,1,1,2008/2009,10,2008-11-01,8203,9999,1,2,away_win
492570,1,1,2008/2009,10,2008-11-01,9996,9984,0,1,away_win
492571,1,1,2008/2009,10,2008-11-01,4049,9987,1,3,away_win
492572,1,1,2008/2009,10,2008-11-02,9993,8635,1,3,away_win
492573,1,1,2008/2009,11,2008-11-08,8635,9994,2,3,away_win
492574,1,1,2008/2009,11,2008-11-08,9998,9996,0,0,draw
492575,1,1,2008/2009,11,2008-11-09,9986,8342,2,2,draw
492576,1,1,2008/2009,11,2008-11-07,9984,10000,2,0,home_win
492577,1,1,2008/2009,11,2008-11-08,9991,7947,1,1,draw
492578,1,1,2008/2009,11,2008-11-08,9999,4049,1,2,away_win
492579,1,1,2008/2009,11,2008-11-08,8571,8203,0,0,draw
492580,1,1,2008/2009,11,2008-11-08,10001,9987,1,0,home_win
492581,1,1,2008/2009,11,2008-11-09,9993,9985,1,3,away_win
492582,1,1,2008/2009,12,2008-11-16,8342,8635,1,1,draw
492583,1,1,2008/2009,12,2008-11-15,9987,9999,1,1,draw
492584,1,1,2008/2009,12,2008-11-15,10000,9993,2,2,draw
492585,1,1,2008/2009,12,2008-11-16,9994,9985,1,1,draw
492586,1,1,2008/2009,12,2008-11-15,7947,8571,1,0,home_win
492587,1,1,2008/2009,12,2008-11-15,8203,9998,0,0,draw
492588,1,1,2008/2009,12,2008-11-15,9996,9986,2,1,home_win
492589,1,1,2008/2009,12,2008-11-15,4049,9984,3,0,home_win
492590,1,1,2008/2009,12,2008-11-14,10001,9991,3,2,home_win
492591,1,1,2008/2009,13,2008-11-22,8635,10001,2,0,home_win
492592,1,1,2008/2009,13,2008-11-22,9985,9996,3,1,home_win
492622,1,1,2008/2009,13,2008-11-22,9998,8342,1,2,away_win
492623,1,1,2008/2009,13,2008-11-22,9986,4049,3,2,home_win
492624,1,1,2008/2009,13,2008-11-22,9984,8203,2,1,home_win
492628,1,1,2008/2009,13,2008-11-23,9991,9987,2,3,away_win
492631,1,1,2008/2009,13,2008-11-22,9999,7947,2,2,draw
492636,1,1,2008/2009,13,2008-12-16,8571,10000,1,0,home_win
492638,1,1,2008/2009,13,2008-11-22,9993,9994,0,2,away_win
492649,1,1,2008/2009,14,2008-11-30,8342,9993,3,0,home_win
492651,1,1,2008/2009,14,2008-11-29,9987,9984,3,2,home_win
492658,1,1,2008/2009,14,2008-11-29,10000,9986,4,2,home_win
492662,1,1,2008/2009,14,2008-11-29,9991,9999,4,0,home_win
492664,1,1,2008/2009,14,2008-11-28,7947,8635,0,2,away_win
492666,1,1,2008/2009,14,2008-11-30,8203,9985,0,0,draw
492670,1,1,2008/2009,14,2008-11-29,9996,9994,2,0,home_win
492674,1,1,2008/2009,14,2008-11-29,4049,8571,3,3,draw
492677,1,1,2008/2009,14,2008-11-29,10001,9998,2,1,home_win
492683,1,1,2008/2009,15,2008-12-06,8635,4049,5,1,home_win
492686,1,1,2008/2009,15,2008-12-06,9985,10000,1,2,away_win
492689,1,1,2008/2009,15,2008-12-06,9998,7947,5,2,home_win
492692,1,1,2008/2009,15,2008-12-06,9986,8203,1,2,away_win
492693,1,1,2008/2009,15,2008-12-05,9984,9991,3,1,home_win
492696,1,1,2008/2009,15,2008-12-07,9994,8342,2,0,home_win
492699,1,1,2008/2009,15,2008-12-06,9999,10001,1,0,home_win
492702,1,1,2008/2009,15,2008-12-07,8571,9987,3,1,home_win
492706,1,1,2008/2009,15,2008-12-06,9993,9996,3,0,home_win
492709,1,1,2008/2009,16,2008-12-14,8342,9985,1,4,away_win
492713,1,1,2008/2009,16,2008-12-13,9987,9986,1,0,home_win
492717,1,1,2008/2009,16,2008-12-13,10000,9996,2,1,home_win
492720,1,1,2008/2009,16,2008-12-13,9991,8571,1,1,draw
492722,1,1,2008/2009,16,2008-12-13,7947,9994,1,1,draw
492724,1,1,2008/2009,16,2008-12-12,8203,9993,2,1,home_win
492728,1,1,2008/2009,16,2008-12-14,9999,8635,0,3,away_win
492734,1,1,2008/2009,16,2008-12-13,4049,9998,2,1,home_win
492735,1,1,2008/2009,16,2008-12-13,10001,9984,1,2,away_win
492742,1,1,2008/2009,17,2008-12-19,8635,9987,2,0,home_win
492745,1,1,2008/2009,17,2008-12-21,9985,9991,2,1,home_win
492746,1,1,2008/2009,17,2008-12-20,9998,10000,2,2,draw
492749,1,1,2008/2009,17,2008-12-20,9986,7947,2,0,home_win
492753,1,1,2008/2009,17,2008-12-20,9984,9999,4,3,home_win
492757,1,1,2008/2009,17,2008-12-20,9994,8203,2,2,draw
492758,1,1,2008/2009,17,2008-12-20,9996,8342,5,1,home_win
492760,1,1,2008/2009,17,2008-12-21,8571,10001,0,0,draw
492763,1,1,2008/2009,17,2008-12-20,9993,4049,2,0,home_win
492769,1,1,2008/2009,18,2009-01-18,9993,9987,4,1,home_win
492772,1,1,2008/2009,18,2009-01-17,9994,10000,2,1,home_win
492775,1,1,2008/2009,18,2009-01-16,8635,9984,1,2,away_win
492779,1,1,2008/2009,18,2009-01-17,9998,9991,1,2,away_win
492781,1,1,2008/2009,18,2009-01-17,9985,7947,3,2,home_win
492782,1,1,2008/2009,18,2009-01-17,8342,8203,3,0,home_win
492785,1,1,2008/2009,18,2009-01-17,8571,9999,2,1,home_win
492789,1,1,2008/2009,18,2009-01-17,9996,4049,1,1,draw
492792,1,1,2008/2009,18,2009-01-18,9986,10001,1,2,away_win
492798,1,1,2008/2009,19,2009-01-25,10000,8342,3,1,home_win
492801,1,1,2008/2009,19,2009-02-18,9991,8635,1,2,away_win
492804,1,1,2008/2009,19,2009-01-25,10001,9985,0,1,away_win
492805,1,1,2008/2009,19,2009-01-24,9987,9998,2,0,home_win
492807,1,1,2008/2009,19,2009-01-24,9999,9986,3,1,home_win
492810,1,1,2008/2009,19,2009-01-24,4049,9994,2,1,home_win
492814,1,1,2008/2009,19,2009-01-24,8203,9996,2,2,draw
492817,1,1,2008/2009,19,2009-01-24,9984,8571,0,1,away_win
492819,1,1,2008/2009,19,2009-01-24,7947,9993,0,1,away_win
492482,1,1,2008/2009,2,2008-10-29,8342,10000,2,0,home_win
492483,1,1,2008/2009,2,2008-08-23,8635,9991,2,2,draw
492484,1,1,2008/2009,2,2008-08-23,9985,10001,3,0,home_win
492485,1,1,2008/2009,2,2008-08-24,9998,9987,3,1,home_win
492486,1,1,2008/2009,2,2008-08-23,9986,9999,1,0,home_win
492487,1,1,2008/2009,2,2008-08-23,9994,4049,4,1,home_win
492488,1,1,2008/2009,2,2008-08-23,9996,8203,3,1,home_win
492489,1,1,2008/2009,2,2008-08-23,8571,9984,2,1,home_win
492490,1,1,2008/2009,2,2008-08-23,9993,7947,1,1,draw
492822,1,1,2008/2009,20,2009-01-31,8571,8635,1,3,away_win
492844,1,1,2008/2009,20,2009-02-01,9994,9987,1,2,away_win
492845,1,1,2008/2009,20,2009-01-31,9998,9984,1,1,draw
492847,1,1,2008/2009,20,2009-02-01,9986,9991,2,5,away_win
492849,1,1,2008/2009,20,2009-01-31,9996,7947,0,2,away_win
492851,1,1,2008/2009,20,2009-01-31,10000,8203,1,1,draw
492853,1,1,2008/2009,20,2009-01-31,9985,9999,3,0,home_win
492856,1,1,2008/2009,20,2009-01-31,8342,4049,3,1,home_win
492858,1,1,2008/2009,20,2009-01-31,9993,10001,2,1,home_win
