match_api_id,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,GBH,GBD,GBA,BSH,BSD,BSA
492473,1.73,3.4,5.0,1.75,3.35,4.2,1.85,3.2,3.5,1.8,3.3,3.75,,,,1.7,3.3,4.33,1.9,3.3,4.0,1.65,3.4,4.5,1.78,3.25,4.0,1.73,3.4,4.2
492474,1.95,3.2,3.6,1.8,3.3,3.95,1.9,3.2,3.5,1.9,3.2,3.5,,,,1.83,3.3,3.6,1.95,3.3,3.8,2.0,3.25,3.25,1.85,3.25,3.75,1.91,3.25,3.6
492475,2.38,3.3,2.75,2.4,3.3,2.55,2.6,3.1,2.3,2.5,3.2,2.5,,,,2.5,3.25,2.4,2.63,3.3,2.5,2.35,3.25,2.65,2.5,3.2,2.5,2.3,3.2,2.75
492476,1.44,3.75,7.5,1.4,4.0,6.8,1.4,3.9,6.0,1.44,3.6,6.5,,,,1.44,3.75,6.0,1.44,4.0,7.5,1.45,3.75,6.5,1.5,3.75,5.5,1.44,3.75,6.5
492477,5.0,3.5,1.65,5.0,3.5,1.6,4.0,3.3,1.7,4.0,3.4,1.72,,,,4.2,3.4,1.7,4.5,3.5,1.73,4.5,3.4,1.65,4.5,3.5,1.65,4.75,3.3,1.67
492478,4.75,3.4,1.67,4.85,3.4,1.65,3.7,3.2,1.8,5.0,3.25,1.62,,,,4.2,3.4,1.7,5.5,3.75,1.67,4.35,3.4,1.7,4.5,3.4,1.7,,,
492479,2.1,3.2,3.3,2.05,3.25,3.15,1.85,3.2,3.5,1.83,3.3,3.6,,,,1.83,3.3,3.6,1.91,3.4,3.6,2.1,3.25,3.0,1.85,3.25,3.75,2.1,3.25,3.1
492480,3.2,3.4,2.2,2.55,3.3,2.4,2.4,3.2,2.4,2.5,3.2,2.5,,,,2.7,3.25,2.25,2.6,3.4,2.4,2.8,3.25,2.25,2.8,3.2,2.25,2.88,3.25,2.2
492481,2.25,3.25,2.88,2.3,3.25,2.7,2.1,3.1,3.0,2.25,3.2,2.75,,,,2.2,3.25,2.75,2.2,3.3,3.1,2.25,3.25,2.8,2.2,3.3,2.8,2.25,3.2,2.8
492564,1.3,5.25,9.5,1.25,5.0,10.0,1.3,4.2,8.0,1.25,4.5,10.0,,,,1.35,4.2,7.0,1.27,5.0,10.0,1.3,4.35,8.5,1.25,5.0,10.0,1.29,4.5,9.0
