match_api_id,H_odd_min,H_odd_max,H_odd_mean,H_odd_std,D_odd_min,D_odd_max,D_odd_mean,D_odd_std,A_odd_min,A_odd_max,A_odd_mean,A_odd_std
492473,1.65,1.85,1.7466666666666668,1.65,3.2,3.4,3.3249999999999997,3.2,3.5,5.0,4.213333333333334,3.5
492474,1.8,2.0,1.8966666666666667,1.8,3.2,3.3,3.2416666666666667,3.2,3.25,3.95,3.566666666666667,3.25
492475,2.35,2.6,2.4549999999999996,2.35,3.1,3.3,3.233333333333333,3.1,2.3,2.75,2.525,2.3
492476,1.4,1.45,1.428333333333333,1.4,3.6,4.0,3.7916666666666665,3.6,6.0,7.5,6.55,6.0
492477,4.0,5.0,4.45,4.0,3.3,3.5,3.4166666666666665,3.3,1.6,1.72,1.67,1.6
492478,3.7,5.0,4.4750000000000005,3.7,3.2,3.4,3.3416666666666663,3.2,1.62,1.8,1.6899999999999997,1.62
492479,1.83,2.1,1.96,1.83,3.2,3.3,3.25,3.2,3.0,3.6,3.358333333333333,3.0
492480,2.4,3.2,2.691666666666667,2.4,3.2,3.4,3.266666666666666,3.2,2.2,2.5,2.3333333333333335,2.2
492481,2.1,2.3,2.225,2.1,3.1,3.25,3.216666666666667,3.1,2.7,3.0,2.813333333333333,2.7
492564,1.25,1.35,1.2916666666666665,1.25,4.2,5.25,4.583333333333333,4.2,7.0,10.0,8.833333333333334,7.0
492565,1.25,1.3,1.2783333333333333,1.25,4.2,5.25,4.63,4.2,8.0,10.0,9.083333333333334,8.0
492566,2.4,2.65,2.558333333333333,2.4,3.1,3.3,3.1999999999999997,3.1,2.3,2.5,2.4166666666666665,2.3
492567,1.8,2.0,1.86,1.8,3.1,3.4,3.275,3.1,3.4,4.0,3.75,3.4
492568,2.5,2.9,2.7083333333333335,2.5,3.2,3.3,3.233333333333333,3.2,2.25,2.38,2.31,2.25
492569,1.67,1.75,1.7033333333333331,1.67,3.2,3.45,3.3416666666666663,3.2,4.0,4.5,4.291666666666667,4.0
492570,2.2,2.35,2.25,2.2,3.1,3.3,3.216666666666667,3.1,2.7,3.0,2.8333333333333335,2.7
492571,4.6,6.0,5.325,4.6,3.4,3.75,3.5583333333333336,3.4,1.5,1.6,1.5533333333333335,1.5
492572,3.6,4.3,3.9333333333333336,3.6,3.2,3.5,3.3166666666666664,3.2,1.68,1.9,1.7816666666666665,1.68
492573,1.25,1.36,1.3083333333333333,1.25,4.0,5.0,4.441666666666666,4.0,7.0,9.0,8.25,7.0
492574,2.2,2.5,2.3333333333333335,2.2,3.1,3.3,3.216666666666667,3.1,2.5,2.9,2.7083333333333335,2.5
492575,2.75,3.25,3.091666666666667,2.75,3.0,3.3,3.1999999999999997,3.0,2.0,2.25,2.1249999999999996,2.0
492576,1.73,1.85,1.7716666666666667,1.73,3.2,3.75,3.391666666666667,3.2,3.6,4.35,3.9883333333333333,3.6
492577,1.33,1.4,1.3766666666666667,1.33,3.9,4.33,4.038333333333333,3.9,6.0,8.0,7.283333333333334,6.0
492578,1.73,1.9,1.8183333333333336,1.73,3.2,3.5,3.35,3.2,3.25,4.2,3.8083333333333336,3.25
492579,1.91,2.05,1.985,1.91,3.2,3.5,3.283333333333333,3.2,3.0,3.6,3.2916666666666665,3.0
492580,2.4,2.7,2.5083333333333333,2.4,3.1,3.3,3.225,3.1,2.4,2.6,2.5,2.4
492581,3.25,3.9,3.608333333333333,3.25,3.25,3.3,3.275,3.25,1.75,2.05,1.8916666666666666,1.75
492582,2.0,2.3,2.183333333333333,2.0,3.1,3.25,3.158333333333333,3.1,2.75,3.2,2.941666666666667,2.75
492583,1.23,1.3,1.2550000000000001,1.23,4.2,5.25,4.791666666666667,4.2,8.0,10.0,9.333333333333334,8.0
492584,1.9,2.1,2.0166666666666666,1.9,3.1,3.3,3.216666666666667,3.1,3.1,3.5,3.2833333333333337,3.1
492585,2.8,3.4,3.141666666666666,2.8,3.1,3.25,3.1916666666666664,3.1,2.0,2.2,2.0833333333333335,2.0
492586,2.1,2.3,2.2,2.1,3.1,3.3,3.1999999999999997,3.1,2.75,3.0,2.8833333333333333,2.75
492587,1.95,2.1,2.05,1.95,3.1,3.3,3.2083333333333335,3.1,3.0,3.6,3.216666666666667,3.0
492588,2.1,2.25,2.1750000000000003,2.1,3.1,3.3,3.216666666666667,3.1,2.75,3.1,2.908333333333333,2.75
492589,3.2,4.6,3.9216666666666664,3.2,3.2,3.5,3.3666666666666667,3.2,1.7,2.0,1.795,1.7
492590,2.3,2.5,2.3833333333333333,2.3,3.1,3.3,3.1666666666666665,3.1,2.6,2.75,2.6666666666666665,2.6
492591,1.4,1.5,1.4400000000000002,1.4,3.5,4.33,3.9299999999999997,3.5,6.0,7.75,6.5,6.0
