match_api_id,home_formation_by_X,away_formation_by_X,home_formation_by_Y,away_formation_by_Y
493017,442,442,442,442
493025,442,442,442,442
493027,442,442,442,442
493034,442,442,442,442
493040,442,442,442,442
493045,442,442,442,442
493048,442,442,442,442
493061,442,442,442,442
493062,442,442,442,442
493080,442,442,442,442
493082,442,442,442,442
493089,442,442,442,442
493092,442,442,442,442
493094,442,442,442,442
493097,442,442,442,442
493103,442,442,442,442
493105,442,442,442,442
493106,442,442,442,442
493107,442,442,442,442
665321,4411,442,442,442
665322,442,442,442,442
665323,442,442,442,442
665411,442,442,442,442
665417,442,442,442,442
665421,442,442,442,442
665425,442,442,442,442
665427,442,442,442,442
665429,442,442,442,442
665430,442,442,442,442
665435,442,442,442,442
665438,3142,442,442,442
665443,442,442,442,442
665445,442,442,442,442
665536,442,442,442,442
665541,442,442,442,442
665543,442,442,442,442
665548,442,442,442,442
665554,442,442,442,442
665556,442,442,442,442
665570,442,442,442,442
665574,442,442,442,442
665575,442,442,442,442
665586,442,442,442,442
665591,442,442,442,442
665596,442,442,442,442
665598,2242,442,442,442
665603,442,442,442,442
665604,442,442,442,442
665619,442,442,442,442
665626,442,442,442,442
665632,442,442,442,442
665633,442,442,442,442
665634,442,442,442,442
665326,442,442,442,442
665327,442,442,442,442
665329,442,442,442,442
665330,442,442,442,442
665332,442,442,442,442
665333,3142,442,442,442
665639,442,442,442,442
665641,442,442,442,442
665647,442,442,442,442
665653,442,442,442,442
665655,4411,442,442,442
665657,442,442,442,442
665659,442,442,442,442
665666,442,442,442,442
665672,442,433,442,442
665674,442,442,442,442
665675,442,442,442,442
665679,442,442,442,442
665680,4312,442,442,442
665681,442,442,442,442
665686,442,442,442,442
665687,442,442,442,442
665689,442,442,442,442
665695,442,442,442,442
665698,442,442,442,442
665699,442,4411,442,442
665700,442,442,442,442
665702,442,442,442,442
665704,433,442,442,442
665712,442,442,442,442
665719,442,442,442,442
665721,442,442,442,442
665727,442,442,442,442
665728,442,3142,442,442
665729,442,433,442,442
665730,442,442,442,442
665733,442,442,442,442
665737,442,442,442,442
665739,442,442,442,442
665741,4312,442,442,442
665745,442,442,442,442
665749,442,442,442,442
665753,442,442,442,442
665757,442,442,442,442
665334,442,442,442,442
665335,442,442,442,442
665337,442,442,442,442
665340,442,442,442,442
665763,3142,442,442,442
665767,442,442,442,442
665771,442,442,442,442
665775,442,442,442,442
665342,442,3142,442,442
665345,442,442,442,442
665346,442,442,442,442
665349,442,442,442,442
665352,442,442,442,442
665353,442,442,442,442
665354,442,442,442,442
665357,3142,442,442,442
665360,442,4411,442,442
665361,442,4312,442,442
665362,21142,442,442,442
665364,442,442,442,442
665366,442,442,442,442
665368,442,442,442,442
665370,442,442,442,442
665374,442,442,442,442
665376,442,3142,442,442
665380,442,442,442,442
665384,442,442,442,442
665385,442,4411,442,442
665393,442,442,442,442
665396,442,442,442,442
665402,442,442,442,442
665405,442,442,442,442
838468,343,442,343,442
838473,352,3142,352,442
838476,343,451,343,451
838581,442,442,442,442
838582,442,442,442,442
838585,442,442,442,442
838586,442,442,442,442
838587,433,532,433,532
838588,442,442,442,442
838590,532,442,532,442
838591,343,433,343,433
838593,352,442,352,442
838594,4321,451,433,451
838596,532,532,532,532
838597,532,442,532,442
838598,442,442,442,442
838599,352,532,352,532
838600,433,442,433,442
838603,442,442,442,442
838604,442,343,442,343
838605,433,352,433,352
838606,442,451,442,451
838607,442,442,442,442
838621,532,433,532,433
838622,433,433,433,433
838623,343,352,343,352
838625,532,442,532,442
838632,532,442,532,442
838635,343,442,343,442
838636,433,343,433,343
838639,352,442,352,442
838640,352,352,352,352
838644,433,343,433,343
838646,442,442,442,442
838651,442,451,442,451
838652,442,442,442,442
838654,442,442,442,442
838656,442,442,442,442
838657,442,442,442,442
838658,433,442,433,442
838661,433,433,433,433
838664,541,4411,541,442
838665,433,433,433,433
838667,352,343,352,343
838669,433,442,433,442
838671,442,3331,442,361
838673,343,433,343,433
838675,532,352,532,352
838676,433,343,433,343
838680,343,4213,343,433
838681,352,442,352,442
838684,442,343,442,343
838686,3331,433,361,433
838688,343,343,343,343
838689,442,352,442,352
838692,352,433,352,433
838694,352,343,352,343
838695,352,442,352,442
838696,532,433,532,433
838699,442,433,442,433
838702,343,343,343,343
838707,442,442,442,442
838709,442,352,442,352
838712,433,343,433,343
838714,433,451,433,451
838716,433,352,433,352
838718,451,442,451,442
838478,442,451,442,451
838481,352,442,352,442
838482,442,442,442,442
838489,442,541,442,541
838720,451,352,451,352
838721,442,442,442,442
838723,442,442,442,442
838725,442,442,442,442
838727,343,541,343,541
838728,532,442,532,442
838732,352,3142,352,442
838734,442,541,442,541
838735,343,352,343,352
838739,352,532,352,532
838741,442,442,442,442
838742,4141,442,541,442
838748,442,442,442,442
838750,442,433,442,433
838752,352,352,352,352
838753,433,532,433,532
838754,442,433,442,433
838755,442,442,442,442
838759,451,532,451,532
838761,442,343,442,343
838764,343,343,343,343
838765,442,5311,442,532
838767,3142,433,442,433
838768,352,532,352,532
838770,433,352,433,352
838772,442,343,442,343
838773,541,433,541,433
838774,532,532,532,532
838775,352,343,352,343
838777,532,343,532,343
838778,343,4411,343,442
838780,532,433,532,433
838783,343,3151,343,451
838789,433,352,433,352
838790,532,352,532,352
838791,433,451,433,451
838792,433,352,433,352
838794,451,532,451,532
838796,352,532,352,532
838798,532,532,532,532
838800,442,343,442,343
838802,442,442,442,442
838804,442,442,442,442
838806,541,433,541,433
838808,442,442,442,442
838809,442,442,442,442
838810,442,442,442,442
838814,442,433,442,442
838815,442,442,442,442
838817,433,451,433,451
838819,442,442,442,442
838820,442,442,442,442
838822,442,442,442,442
838823,442,442,442,442
838825,442,442,442,442
838827,352,442,352,442
838829,352,442,352,442
838830,532,541,532,541
838832,352,442,352,442
838833,343,442,343,442
838835,541,451,541,451
838838,433,433,433,433
838839,343,343,343,343
838841,352,343,352,343
838853,442,442,442,442
838855,442,442,442,442
838857,442,442,442,442
838859,442,442,442,442
838862,442,442,442,442
838864,442,442,442,442
838491,352,451,352,451
838493,3142,532,442,532
838494,433,442,433,442
838499,541,3142,541,442
838500,442,442,442,442
838867,343,343,343,343
838869,532,352,532,352
838872,451,532,451,532
838873,433,352,433,352
838874,343,532,343,532
838875,343,352,343,352
838876,352,433,352,433
838503,442,433,442,433
838504,352,532,352,532
838506,352,532,352,532
838508,433,433,433,442
838511,4321,442,433,442
838515,3142,343,451,343
838517,352,451,352,451
838519,442,442,442,442
838521,442,442,442,442
838523,433,352,433,352
838524,442,442,442,442
838526,451,343,451,343
838528,451,433,451,433
838529,442,451,442,451
838531,433,3142,433,442
838532,352,352,352,352
838534,442,31411,442,442
838536,343,532,343,532
838537,343,433,343,433
838540,352,352,352,352
838542,352,433,352,433
838543,352,433,352,433
838546,433,433,433,433
838547,442,451,442,451
838552,451,451,451,451
838555,451,451,451,451
838558,442,442,442,442
838560,433,442,433,442
838561,442,532,442,532
838562,343,532,343,532
838563,442,442,442,442
838564,2152,352,352,352
838567,352,433,352,433
838568,532,451,532,451
838570,352,442,352,442
838571,352,442,352,442
838575,451,433,451,433
838576,532,442,532,442
838578,541,433,541,433
1032692,433,352,433,352
1032693,5311,41113,541,433
1032694,442,433,442,433
1032697,3511,433,352,433
1032698,451,451,451,451
1032699,442,541,442,541
1032764,451,451,451,451
1032765,343,541,343,541
1032766,451,442,451,442
1032767,532,532,532,532
1032768,343,532,343,532
1032770,442,433,442,433
1032771,532,433,532,433
1032773,442,532,442,532
1032774,352,433,352,433
1032775,442,442,442,442
1032776,4213,451,433,451
1032777,451,451,451,451
1032778,532,352,532,352
1032780,352,352,352,352
1032781,352,541,352,541
1032782,451,541,451,541
1032783,532,433,532,433
1032784,343,442,343,442
1032785,343,343,343,343
1032786,433,442,433,442
1032787,532,352,532,352
1032788,442,451,442,451
