match_api_id,home_team_buildUpPlaySpeed,home_team_buildUpPlayPassing,home_team_chanceCreationPassing,home_team_chanceCreationCrossing,home_team_chanceCreationShooting,home_team_defencePressure,home_team_defenceAggression,home_team_defenceTeamWidth,away_team_buildUpPlaySpeed,away_team_buildUpPlayPassing,away_team_chanceCreationPassing,away_team_chanceCreationCrossing,away_team_chanceCreationShooting,away_team_defencePressure,away_team_defenceAggression,away_team_defenceTeamWidth
492473,,,,,,,,,,,,,,,,
492474,,,,,,,,,,,,,,,,
492475,,,,,,,,,,,,,,,,
492476,,,,,,,,,,,,,,,,
492477,,,,,,,,,,,,,,,,
492478,,,,,,,,,,,,,,,,
492479,,,,,,,,,,,,,,,,
492480,,,,,,,,,,,,,,,,
492481,,,,,,,,,,,,,,,,
492564,,,,,,,,,,,,,,,,
492565,,,,,,,,,,,,,,,,
492566,,,,,,,,,,,,,,,,
492567,,,,,,,,,,,,,,,,
492568,,,,,,,,,,,,,,,,
492569,,,,,,,,,,,,,,,,
492570,,,,,,,,,,,,,,,,
492571,,,,,,,,,,,,,,,,
492572,,,,,,,,,,,,,,,,
492573,,,,,,,,,,,,,,,,
492574,,,,,,,,,,,,,,,,
492575,,,,,,,,,,,,,,,,
492576,,,,,,,,,,,,,,,,
492577,,,,,,,,,,,,,,,,
492578,,,,,,,,,,,,,,,,
492579,,,,,,,,,,,,,,,,
492580,,,,,,,,,,,,,,,,
492581,,,,,,,,,,,,,,,,
492582,,,,,,,,,,,,,,,,
492583,,,,,,,,,,,,,,,,
492584,,,,,,,,,,,,,,,,
492585,,,,,,,,,,,,,,,,
492586,,,,,,,,,,,,,,,,
492587,,,,,,,,,,,,,,,,
492588,,,,,,,,,,,,,,,,
492589,,,,,,,,,,,,,,,,
492590,,,,,,,,,,,,,,,,
492591,,,,,,,,,,,,,,,,
492592,,,,,,,,,,,,,,,,
492622,,,,,,,,,,,,,,,,
492623,,,,,,,,,,,,,,,,
492624,,,,,,,,,,,,,,,,
492628,,,,,,,,,,,,,,,,
492631,,,,,,,,,,,,,,,,
492636,,,,,,,,,,,,,,,,
492638,,,,,,,,,,,,,,,,
492649,,,,,,,,,,,,,,,,
492651,,,,,,,,,,,,,,,,
492658,,,,,,,,,,,,,,,,
492662,,,,,,,,,,,,,,,,
492664,,,,,,,,,,,,,,,,
