Value,Feature,feature_set
-0.00022892025944301064,home_team_home_lose_percentage_last_20_matches,Recent avg goal & win % (#: 65)
-0.00022892025944301064,home_team_home_win_percentage_last_30_matches,Recent avg goal & win % (#: 65)
-0.00019076688286917554,home_player_9_pc_2,Player attributes (#: 110)
-0.00015261350629532932,elo_difference,Recent Elo rating (#: 34)
-0.00011446012972151642,home_team_avg_goal_at_home_last_20_matches,Recent avg goal & win % (#: 65)
-7.630675314768132e-05,away_player_6_pc_5,Player attributes (#: 110)
-7.630675314768132e-05,away_player_7_pc_1,Player attributes (#: 110)
-3.815337657384621e-05,away_team_avg_goal_at_away_last_10_matches,Recent avg goal & win % (#: 65)
-3.815337657384621e-05,away_team_std_elo_last_60_matches,Recent Elo rating (#: 34)
-3.815337657384621e-05,home_player_9_pc_4,Player attributes (#: 110)
-3.815337657384621e-05,home_team_avg_elo_last_90_matches,Recent Elo rating (#: 34)
-3.815337657383511e-05,home_player_1_pc_1,Player attributes (#: 110)
-3.815337657383511e-05,home_player_8_pc_3,Player attributes (#: 110)
-3.3306690738754695e-17,home_team_avg_goal_at_home_last_30_matches,Recent avg goal & win % (#: 65)
-2.2204460492503132e-17,home_team_avg_oppnt_goal_at_home_last_90_matches,Recent avg goal & win % (#: 65)
0.0,away_player_10_pc_3,Player attributes (#: 110)
0.0,away_player_10_pc_4,Player attributes (#: 110)
0.0,away_player_11_pc_2,Player attributes (#: 110)
0.0,away_player_11_pc_4,Player attributes (#: 110)
0.0,away_player_11_pc_5,Player attributes (#: 110)
0.0,away_player_1_pc_4,Player attributes (#: 110)
0.0,away_player_2_pc_2,Player attributes (#: 110)
0.0,away_player_2_pc_3,Player attributes (#: 110)
0.0,away_player_3_pc_1,Player attributes (#: 110)
0.0,away_player_3_pc_2,Player attributes (#: 110)
0.0,away_player_4_pc_1,Player attributes (#: 110)
0.0,away_player_4_pc_2,Player attributes (#: 110)
0.0,away_player_4_pc_5,Player attributes (#: 110)
0.0,away_player_6_pc_2,Player attributes (#: 110)
0.0,away_player_6_pc_3,Player attributes (#: 110)
0.0,away_player_6_pc_4,Player attributes (#: 110)
0.0,away_player_7_pc_4,Player attributes (#: 110)
0.0,away_player_8_pc_2,Player attributes (#: 110)
0.0,away_player_9_pc_5,Player attributes (#: 110)
0.0,away_team_avg_goal_at_away_last_1_matches,Recent avg goal & win % (#: 65)
0.0,away_team_avg_oppnt_goal_at_away_last_1_matches,Recent avg goal & win % (#: 65)
0.0,away_team_avg_oppnt_goal_at_away_last_3_matches,Recent avg goal & win % (#: 65)
0.0,away_team_avg_oppnt_goal_at_away_last_5_matches,Recent avg goal & win % (#: 65)
0.0,away_team_avg_oppnt_goal_at_away_last_90_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_lose_percentage_last_10_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_lose_percentage_last_1_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_lose_percentage_last_5_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_lose_percentage_last_60_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_lose_percentage_last_90_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_win_percentage_last_1_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_win_percentage_last_3_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_win_percentage_last_5_matches,Recent avg goal & win % (#: 65)
0.0,away_team_buildUpPlayPassing,Team attributes (#: 17)
0.0,away_team_buildUpPlaySpeed,Team attributes (#: 17)
0.0,away_team_chanceCreationCrossing,Team attributes (#: 17)
0.0,away_team_chanceCreationPassing,Team attributes (#: 17)
0.0,away_team_chanceCreationShooting,Team attributes (#: 17)
0.0,away_team_defenceAggression,Team attributes (#: 17)
0.0,away_team_defencePressure,Team attributes (#: 17)
0.0,away_team_std_elo_last_1_matches,Recent Elo rating (#: 34)
0.0,away_team_std_elo_last_30_matches,Recent Elo rating (#: 34)
0.0,away_team_std_elo_last_3_matches,Recent Elo rating (#: 34)
0.0,away_team_std_elo_last_90_matches,Recent Elo rating (#: 34)
0.0,home_player_1_pc_2,Player attributes (#: 110)
0.0,home_player_2_pc_5,Player attributes (#: 110)
0.0,home_player_3_pc_2,Player attributes (#: 110)
0.0,home_player_3_pc_5,Player attributes (#: 110)
0.0,home_player_7_pc_2,Player attributes (#: 110)
0.0,home_player_7_pc_5,Player attributes (#: 110)
0.0,home_player_8_pc_5,Player attributes (#: 110)
0.0,home_team_avg_goal_at_home_last_1_matches,Recent avg goal & win % (#: 65)
0.0,home_team_avg_goal_at_home_last_3_matches,Recent avg goal & win % (#: 65)
0.0,home_team_avg_oppnt_goal_at_home_last_1_matches,Recent avg goal & win % (#: 65)
0.0,home_team_avg_oppnt_goal_at_home_last_3_matches,Recent avg goal & win % (#: 65)
0.0,home_team_avg_oppnt_goal_at_home_last_5_matches,Recent avg goal & win % (#: 65)
0.0,home_team_avg_oppnt_goal_at_home_last_60_matches,Recent avg goal & win % (#: 65)
0.0,home_team_buildUpPlayPassing,Team attributes (#: 17)
0.0,home_team_buildUpPlaySpeed,Team attributes (#: 17)
0.0,home_team_chanceCreationCrossing,Team attributes (#: 17)
0.0,home_team_chanceCreationShooting,Team attributes (#: 17)
0.0,home_team_defenceAggression,Team attributes (#: 17)
0.0,home_team_defencePressure,Team attributes (#: 17)
0.0,home_team_defenceTeamWidth,Team attributes (#: 17)
0.0,home_team_home_lose_percentage_last_1_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_lose_percentage_last_3_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_lose_percentage_last_5_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_lose_percentage_last_60_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_win_percentage_last_1_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_win_percentage_last_3_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_win_percentage_last_5_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_win_percentage_last_60_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_win_percentage_last_90_matches,Recent avg goal & win % (#: 65)
0.0,home_team_std_elo_last_10_matches,Recent Elo rating (#: 34)
0.0,home_team_std_elo_last_1_matches,Recent Elo rating (#: 34)
0.0,home_team_std_elo_last_3_matches,Recent Elo rating (#: 34)
0.0,home_team_std_elo_last_60_matches,Recent Elo rating (#: 34)
0.0,home_team_std_elo_last_90_matches,Recent Elo rating (#: 34)
3.81533765737907e-05,home_team_avg_elo_last_20_matches,Recent Elo rating (#: 34)
3.81533765738018e-05,away_team_avg_goal_at_away_last_90_matches,Recent avg goal & win % (#: 65)
3.81533765738018e-05,home_player_5_pc_3,Player attributes (#: 110)
3.81533765738018e-05,home_player_6_pc_2,Player attributes (#: 110)
